decil,clientes,compradores,score_promedio,tasa_compra_decil,tasa_compra_general,lift,auc_inferencia
1,8000,1061,0.14648020557347313,0.132625,0.0257625,5.147986414361959,0.8550262740155732
2,8000,449,0.050982122915050984,0.056125,0.0257625,2.1785540999514796,0.8550262740155732
3,8000,225,0.029099383710978293,0.028125,0.0257625,1.091703056768559,0.8550262740155732
4,8000,135,0.019147354972810407,0.016875,0.0257625,0.6550218340611353,0.8550262740155732
5,8000,73,0.01381327106744676,0.009125,0.0257625,0.3541969917515769,0.8550262740155732
6,8000,53,0.010499302185541152,0.006625,0.0257625,0.2571567200388161,0.8550262740155732
7,8000,29,0.008203388127152877,0.003625,0.0257625,0.14070839398350315,0.8550262740155732
8,8000,23,0.006479880487648608,0.002875,0.0257625,0.11159631246967491,0.8550262740155732
9,8000,8,0.00508263108017906,0.001,0.0257625,0.038816108685104316,0.8550262740155732
10,8000,5,0.0037581706991444454,0.000625,0.0257625,0.024260067928190198,0.8550262740155732
