partition,key_value,codunicocli,grp_campecs06m,prob_value_contact,monto,probabilidad_modelo,prediccion_umbral_050,frescura,puntuacion_tlv,grupo_ejec,orden
p10,46FAE9A0475CCF28BCE8BD0C8F1106CD3BA6F2FE6E7F0402F29895415D978432,14997796,G1,1.0,17500,0.35680824108291187,0,0.066,0.23007740324811304,1,1
p10,2F1AA54E32E8DC98B18310BAEE9E0A4A78E7DAC50A79008CB69067AE742FB08C,11626316,G1,0.6811265809637196,16400,0.4526793806213337,0,0.066,0.19749785546526305,1,2
p10,65796EAA25DCF8D94BAC0C046CB33E324B255FE02635411C26B0907E1DB16CFC,18250273,G1,0.5361484155156332,10300,0.49213739631668757,0,0.066,0.16091151542843304,1,3
p10,92CC2E7299335C0452984FE175632754520BEF7CB4AD0CAC4F0DF6AE32546D50,3512183,G1,0.4864317164132388,42000,0.4471802810165951,0,0.066,0.15283134526816133,1,4
p10,5F88486A7CB6B1159023CA67EF9E616933DCB07EB9AD1AAC5BE0D8AC56CD237C,13328344,G1,0.5099604296564204,21400,0.44450302106580125,0,0.066,0.14917713091940327,1,5
p10,3C98C064044DF0D345C3B8A3C3B43C90586A616DD8B09CE167D02C42140E75D0,14714928,G1,0.4405884246510419,13700,0.5342463285300127,1,0.066,0.14797684617617446,1,6
p10,8ECC557FC573EEB12D5121956986F8E7DF80F8188C1F743C40245D2001EB4E9E,11768305,G1,0.480224061059501,74900,0.40317637977485815,0,0.066,0.14342590291053162,1,7
p10,2992CCBACF29069F0F2ACB0F6F19A6C99770DD7C18374D4E40AF9B664C080330,12291670,G1,0.5801670795710191,70000,0.33533497640742554,0,0.066,0.14325001815523092,1,8
p10,46E7F56B32F88CA587F2C1F63FF8957A52A4F91C40C1D56444DB1E3F3949EBBC,10971362,G1,0.5308479248120664,60000,0.37119968088309985,0,0.066,0.14308624718793378,1,9
p10,711B33BC9E398108A349CD4FDA34F3B30A3B5A4A38B0BE4FDF50F5DCA39E7330,17716893,G1,0.610651052152191,20700,0.35697409987667217,0,0.066,0.14297825892709223,1,10
p10,6E38F409C15C4A0706E2AD55707A017971D74FC9CE9587EB72054ADBAA7377A2,12884048,G1,0.4665450626260212,25100,0.45265439856363826,0,0.066,0.14120242173508496,1,11
p10,5EC65E76C0F3306CADDCE77F99CF4F7AE000FD8E8A04293EC7DBB54C68518D16,14716901,G1,0.5690661730096898,32400,0.36044883669677374,0,0.066,0.14060356573765442,1,12
p10,FCD0EC558ED2AEE8348AA3C2D2FC22A615C4E25D20319E197807C7DFE75E0E3A,18353541,G1,0.4333505408443074,30000,0.47496606306243877,0,0.066,0.1400431296973443,1,13
p10,7DF273B461493189A9F0330E1713864D6D7BD4FC9F78BC40E8F96E5741B90654,13178388,G1,0.4213140736082755,43700,0.4647926329073921,0,0.066,0.13809844753063044,1,14
p10,2C9AF31DEF90B15A03B0ACD88D380F419FC9DF2E0B7CDD9F4000D11528ADF577,10147289,G1,0.357246588180961,100000,0.5027049874789364,1,0.066,0.13646186098717142,1,15
p10,F30CCC78B8B9AFE708077EEC0DE3E82F751C29EEA03691A89EFF85B5092352AE,13238870,G1,0.386188665247983,21700,0.5335554983315353,1,0.066,0.13579258922599408,1,16
p10,F5F828DBF8D40161A5DD60E6C9EEF21F5090A3CC7CDD1DE5D6E7B0B253957986,16572101,G1,0.4784834580079806,13700,0.4496057408448331,0,0.066,0.13524397094437113,1,17
p10,D4E973B859C7A2A6CE70EE964B127A539A26A74AA6D8B085C289C59588A06702,15147240,G1,0.425874371733082,21300,0.47695682166784925,0,0.066,0.13361265146107904,1,18
p10,B13B7FA5D708580A658618DDBCAD1CBC1C85DB48D4242CA450CA21DA4D5FEB52,12775672,G1,0.4366341812834983,23600,0.4486795075673228,0,0.066,0.13019255656487091,1,19
p10,1A39A718AD5524149217DACEFFBFC8E29316086D7224E3E03E6AB28A5AEF547F,5857503,G1,0.5597253028945147,20500,0.33221206150019744,0,0.066,0.12184453507781613,1,20
p10,01F00DB46417ED3EE13925FAE840ED7D719D875330A605FE26A72785EDE46406,15746564,G1,0.5235264041561426,20100,0.35389981133857834,0,0.066,0.1211635138010509,1,21
p10,D699AF69ABA8146474F0D37D512FCF107524352896BA43AF40768CE8481BEF7F,9539727,G1,0.5801445868171413,30000,0.30588165075700446,0,0.066,0.12073955050154332,1,22
p10,E3A5297FE0A01672BF00B10D6B68543D35760B6CB5FB469FD07D5ACEF0F51616,9443767,G1,0.6322412088739007,14300,0.2955161426928956,0,0.066,0.11798667365273793,1,23
p10,8B32839E7333D2CCEE330F135F09FDF82336216F1FD21E570DA29133B6724A70,13071901,G1,0.4954294212182936,9300,0.39051794765474834,0,0.066,0.1166841978466052,1,24
p10,164BE8083A675CE4C5D5427F0C9296F4309FAB46ECA339A78A6A5B0C1360B6B8,11300940,G1,0.4497876593600937,13100,0.4141635647079127,0,0.066,0.11656066894971802,1,25
p10,B2150AE6A11CEDC928DA15220D0D41FB666AC5888F34866C7D6266807091508E,10133320,G1,0.579703909817317,27500,0.29340158168545916,0,0.066,0.1147486388584261,1,26
p10,57C00E53A40C5832B40106A61DAA130104261871A736568C0976BC034BD432BD,10206676,G1,0.4590366194292509,9500,0.4127368373379395,0,0.066,0.11453013756630946,1,27
p10,788276C0C120A960E43855300E198EEF406255760DB606CAEDF2CC27A5AB5AC4,10680602,G1,0.6109613832123976,9200,0.31050515953812663,0,0.066,0.11427672287990977,1,28
p10,0747CF055A983128ABFE41D6B1C8E8D157586A3D35A0AF3B242A18D5DD58E6E9,19322570,G1,0.43731508261832,7300,0.44028660066026265,0,0.066,0.1130465310684947,1,29
p10,15F1969E341296CDB8F4373A9037893F03D0A138FEEC4054F4E528C49745DFD2,10842669,G1,0.4126124372168114,42000,0.38759937576191994,0,0.066,0.11236557817616431,1,30
p10,38B7EFE1AC07CDAF31CE7DE8B54128782416BCEEB191BE017631B546833C896D,15616407,G1,0.4472114203393163,20700,0.38292345224363217,0,0.066,0.11232205447567428,1,31
p10,73638159A87EB7AEBCFCC4F46338B4FB4C3641D6F5A4520179CCEF6AF80F2CBC,17827230,G1,1.0,23300,0.16886043594604627,0,0.066,0.11207479944625438,1,32
p10,2612DD9C153B2EB1B9C2E730E7C681C850B83EE2C16AD51108769B54E468FDFA,12621673,G1,0.4415145918001787,23800,0.3773393609541866,0,0.066,0.11080852535974123,1,33
p10,011DE70B6C7FEBA340851D75766EA24A56114A250BF5C87865396EFC5C211496,15175740,G1,0.5298395427694453,7300,0.3509547737649732,0,0.066,0.10917490856684961,1,34
p10,7EAD88D8D99F7067D5DD247E2180C57CF66E186C885C8054BFB88DB222279B77,12845488,G1,0.6121395812378394,16500,0.27752762780139606,0,0.066,0.10888610381422262,1,35
p10,8AA4DAC1C1D1A979FD494B8EA9B4522EBF00ACB4E93E9732175DB989526DF546,14228455,G1,0.5145245196631067,27100,0.31343264298129164,0,0.066,0.10864411778849967,1,36
p10,F7A803741FEFAFDD787AB7E8A0CF0936C9BED333DDFDD3F67D846E229079B713,13529784,G1,0.4734642129070199,17900,0.35503407904794443,0,0.066,0.10864248151991418,1,37
p10,B44C9BBA8B186FD9C1AFD0F5B913CD6376960DB3178637B03D449FBD44E001BE,10296082,G1,0.4457288376138884,21800,0.36799294927618126,0,0.066,0.10814516202171484,1,38
p10,AE388F2B5A5B46410D5A31856FC8A6BFE059C45B81258F9093F52A95BFDB3A25,15319019,G1,0.3889849626864883,24300,0.41561395257114825,0,0.066,0.10774917785007493,1,39
p10,AD34D4BB14701E2DAEBD9B88ED53ADEC73E92C0E9BA8C8A206ADAE8207704747,13094644,G1,0.3676603885098471,19600,0.44915725736416234,0,0.066,0.10771910908239678,1,40
p10,991DB888BFDF6F648F9D41577FAFF361B98F5885C8BE3D98205F237CC9EBBA57,18837012,G1,0.5290235125530894,13800,0.32316235536747556,0,0.066,0.10755889254934127,1,41
p10,D8C1EBA4725F63CF538AD10E0BE690F580D74A03D348DAEA1D4D34C36A537C51,15768012,G1,0.4516207326220007,28000,0.3475305696013174,0,0.066,0.1060744001581168,1,42
p10,4EE99D56A8E30A8E75D1F2B2F446F9F78DC948CDE7F35FFF5E9F45B6BB519F18,10194496,G1,0.387058686691559,70000,0.3683828798045752,0,0.066,0.10498784153225761,1,43
p10,06C46CF1BB441256A37FEF12E61143BBB137FCF08DEF2F842786AD192D505CEB,13562960,G1,0.5579426875153489,43800,0.2662894566124434,0,0.066,0.10479970154300272,1,44
p10,D95ED7A932C31C2FCB57C85EB78F07336E58FE2E638C08D5327A438FE109EE26,6365886,G1,0.5144071005935339,37800,0.2914369613066391,0,0.066,0.10428932919683773,1,45
p10,0946108C89A18A4E22FBEF222333716DCA6C0F32214B28D3DD74B2F7EB11C86E,15756638,G1,1.0,12500,0.1674751520952692,0,0.066,0.10427257845296234,1,46
p10,6D058EBDFC4FD0B20D701CE3B6647719D86D7E525D06FA00D75AF36A916080A1,17554190,G1,0.4424025815931168,9600,0.38905354675651793,0,0.066,0.10416514568201815,1,47
p10,284BC4315CFF4737BE3F3B348E6A841FB45845D5CFA672D281821FFCFA4A9B1E,15703241,G1,0.3920323430308286,9600,0.4381848170403279,0,0.066,0.10396199805669852,1,48
p10,9E42C14D37D6AEB747D7E584E57F49F6D18D9A560835CACD9E116CAC28A34415,9867835,G1,0.5156854818618223,9900,0.33174753728069645,0,0.066,0.10388260565690803,1,49
p10,D4DA2244ED1386486EF312306268EC07EFD37B19336B3E63FAEDD8640A33C5B9,15198763,G1,0.5196384325423615,9600,0.3297356535752568,0,0.066,0.10369613444603727,1,50
p10,1D6351B720E915D4A60B4B6937EF96C3D4D175C8ABD8FE9B5EC5994727D5EB05,11987560,G1,0.4267540883291915,9900,0.39979798096877706,0,0.066,0.10360208813994314,1,51
p10,0F3C3343E7C8AAE5545473DB73E0A1E1BC13A25EA56E31D0A1AFDB0F00914236,9818591,G1,0.5722844034864544,8600,0.30222220339982864,0,0.066,0.10341721889448066,1,52
p10,6A496075C98AED7B9C33C201D0549D445B1176B931037845BB3E7AC0D7EB5614,16220767,G1,0.5331790272872293,29800,0.28477914055470815,0,0.066,0.10324267393010438,1,53
p10,F2D5BB6CF8EC39DE882A8C01592FD576D109608B2928A988C1A41C3963D7FDEB,12094793,G1,0.355258414023301,9100,0.48185552211322746,0,0.066,0.10299499352027154,1,54
p10,046F290C347E97BBFE74F2A397E95DEC34F23CAACCF14AB98ECB0FE2096191BA,18624995,G1,0.3634651021055364,14400,0.4482224797751859,0,0.066,0.10295358439708509,1,55
p10,1711CE055E82AD3843499E7602B18264C6DE7233727570F19F9EA1F590120C97,12496062,G1,0.3775357200670208,21200,0.41152135973797577,0,0.066,0.10214858196156493,1,56
p10,D260DC09667478808FC2429FE7C27A7A6087E20FFC281AE71C603EAF381BFDB3,18255843,G1,0.3933389479653812,12900,0.4141597629052347,0,0.066,0.10176587404486306,1,57
p10,0EB07B57AE25DAFCF12AD43746F50CDF7F59E9F200BED5971FB705D997B3F28D,16299040,G1,0.4081029416912806,9700,0.4099664386307153,0,0.066,0.1013687059008445,1,58
p10,116DCBF6D1619463F03C6BB837685ED42FCD3754FAB687094FA9D83AB06F1D83,8447894,G1,0.4403817670885938,55100,0.31828198507610495,0,0.066,0.10099167521769815,1,59
p10,E76366490D3C78EA86855635AF0ECCE0AFE83379ADCE40EC41FE5E376133E252,14785896,G1,0.3766229106835969,21100,0.4072560686064132,0,0.066,0.10079756595449903,1,60
p10,69E73A7DB6497CFF31FEC1BA9DEC188B297177ADED799148106065CA2DEB8A9E,16652537,G1,0.5198238038588027,12600,0.310231382806508,0,0.066,0.10049125533165756,1,61
p10,EC84C974A69C09040276B5017AC0F7A25891846D4DB919EBC23E52A2671F7F6E,16407966,G1,0.362248209649094,17900,0.42536988479456733,0,0.066,0.0995899384247916,1,62
p10,BA85D01D7E230F461C6276AA89FECFB93FE06D5ADCA4A375CE912BF788C4E5EC,15978681,G1,0.4317980237519375,16500,0.3590807436069757,0,0.066,0.09937760788922952,1,63
p10,F7D4FEC79346F9334FCF5901FB12ED767A2D2AF214439AF0DEBD48CE763C60DE,16604563,G1,0.4387023081323848,4400,0.4082426879591402,0,0.066,0.09916829699614055,1,64
p10,FF2E95FD6ABC5A8607BE980FD7DDC8D811909B90E9FA34A1F012294DA6EACFCA,13336840,G1,0.45347474741338,39200,0.3124698745834536,0,0.066,0.09891118985631692,1,65
p10,D5B7A699AB0958588517EF4945CF254D102B65420193E75A2D85D02D68B66408,9692293,G1,0.4468190898334593,30000,0.32386808238681686,0,0.066,0.09845998256156133,1,66
p10,1C52F294CCFC71BBF4474DAE4A6721837AC6092CADD18BD2091A5881C86CC42C,9818438,G1,0.3957367961795416,20000,0.3804581276075978,0,0.066,0.098411893483231,1,67
p10,D22180D50C20E64E70760C3CEE12E4403362836AF6B9C3D738813B960B1152CF,15613562,G1,0.4356784116019591,13600,0.3570812337547361,0,0.066,0.0977277896895344,1,68
p10,34D1E8DFE9A243D059102918A953CBE39975B8E772BC70CBBCDD5B34AEC5DE4D,10284432,G1,0.4897767163955753,15800,0.31245243902221626,0,0.066,0.09764610581751505,1,69
p10,F7F891318CB3C7B17FE679D3DAA27082A808E65B55A1BCAEF977E08FE0745D71,15511125,G1,0.5145392993845246,27400,0.27997448662922236,0,0.066,0.09715408611645465,1,70
p10,85A86665DC4C096A789F77B075377625FA8C0482D7F73A300CCA3D04041EE627,8327169,G1,0.2945518501732614,43300,0.4666125900425957,0,0.066,0.09684292579858111,1,71
