grupo_ejec,clientes,score_promedio,tlv_promedio
1,8000,0.13008119043995037,0.016793216769424118
2,8000,0.04846333407189879,0.003060158554950725
3,8000,0.02922518512745591,0.0014307292132430152
4,8000,0.020668436590221224,0.0008262614112127746
5,8000,0.016602262306317967,0.0005167289356145991
6,8000,0.013674284789481031,0.00032944511963659966
7,8000,0.01174686079833424,0.0002057471487195661
8,8000,0.00966236778936287,0.00012291739815695551
9,8000,0.008047830461406478,6.657245394945717e-05
10,8000,0.0053739584449968535,2.6043409205487242e-05
