variable,nombre_amigable,familia,importancia
prm_svprmecs06m,Promedio saldo ECS 6 meses,"Saldos, deuda y consumo",0.20512815703564327
nro_producto_6m,Número de productos financieros en 6 meses,Productos y actividad,0.13529789051024224
prom_uso_tc_rccsf3m,Promedio uso tarjeta crédito RCC o sistema financiero,"Tarjeta, línea y crédito",0.11423765154375123
ctd_camptot06m,Cantidad total de campañas en 6 meses,Campañas y contacto,0.07532656103141154
ctd_campecsm01,Cantidad de campañas ECS en el último mes,Campañas y contacto,0.04885410142794848
dsv_svppallsf06m,Desviación de saldos o promedios últimos 6 meses,"Saldos, deuda y consumo",0.041923763266300706
ctd_app_productos_m1,Productos usados desde app en el último mes,Productos y actividad,0.03865079786667947
prm_svprmlibdis06m,Promedio saldo libre disponibilidad 6 meses,"Saldos, deuda y consumo",0.03540827832613957
max_usotcribksf06m,Máximo uso de tarjeta Interbank o sistema financiero,"Tarjeta, línea y crédito",0.034054933687495625
max_campecs06m,Máximo número de campañas ECS en 6 meses,Campañas y contacto,0.02809416326246888
beta_saltotppe12m,Tendencia temporal saldo total PPE 12 meses,"Saldos, deuda y consumo",0.02796706710013348
mnt_ptm,Monto PTM asociado al cliente,"Ingreso, tasa y valor económico",0.020521597389536617
ctd_sms_received,SMS recibidos por campañas,Campañas y contacto,0.016061383512661908
max_usotcrrstsf03m,Máximo uso de tarjeta últimos 3 meses,"Tarjeta, línea y crédito",0.01487793246873159
dif_no_gestionado_4meses,Tiempo desde última no gestión,Campañas y contacto,0.013418820299608336
flg_saltotppe12m,Flag de saldo total PPE 12 meses,"Saldos, deuda y consumo",0.01338939982737969
lin_tcrrstsf03m,Línea de tarjeta registrada últimos 3 meses,"Tarjeta, línea y crédito",0.012836454988890767
num_incrsaldispefe06m,Incrementos de saldo disponible en 6 meses,Canales y transacciones,0.011541998534121682
prm_saltotrdpj03m,Promedio saldo total DPJ 3 meses,"Saldos, deuda y consumo",0.010135667777975225
cre_lin_tc_rccibk_m07,Línea de crédito TC RCC Interbank mes 7,"Tarjeta, línea y crédito",0.0088609639730369
apppag_1m,Pagos por app último mes,Productos y actividad,0.008433105667994378
avg_sald_pas_3m,Saldo pasivo promedio 3 meses,"Saldos, deuda y consumo",0.008370898923730562
sldvig_tcrsrcf,Saldo vigente tarjeta sistema financiero,"Saldos, deuda y consumo",0.006978319316885916
ant_ultprdallsf,Antigüedad desde último producto,Productos y actividad,0.006620384201368668
bpitrx_1m,Transacciones BPI último mes,Canales y transacciones,0.006254542769066219
ctd_entrdm01,Entradas digitales último mes,Canales y transacciones,0.006016179939215934
telefonos_6meses,Teléfonos disponibles en 6 meses,Campañas y contacto,0.005712490460510996
seg_un,Segmento del cliente,Productos y actividad,0.0045597227498274055
nprod_1m,Número de productos último mes,Productos y actividad,0.004003888821239993
nro_transfer_6m,Número de transferencias en 6 meses,Productos y actividad,0.0038849881574083496
cnl_age_p4m_p12m,Uso relativo de agencia 4 vs 12 meses,Canales y transacciones,0.0035929585667896034
prm_lintcribksf03m,Promedio línea TC 3 meses,"Tarjeta, línea y crédito",0.0032506231776279998
openhtml_1m,Aperturas de email HTML último mes,Campañas y contacto,0.0026779031076500197
prom_sow_lintcribksf3m,Participación promedio de línea TC 3 meses,"Tarjeta, línea y crédito",0.0023510325656821364
prom_score_acepta_12meses,Score histórico de aceptación 12 meses,Campañas y contacto,0.002194979371610785
dif_contacto_efectivo_10meses,Tiempo desde contacto efectivo en 10 meses,Campañas y contacto,0.0020393850289883698
max_nact_12m,Máximo nivel de actividad 12 meses,Productos y actividad,0.002015340808732495
prm_cnt_fee_amt_u7d,Promedio de comisiones últimos 7 días,Canales y transacciones,0.0017763361710376312
cnl_atm_p4m_p12m,Uso relativo de ATM 4 vs 12 meses,Canales y transacciones,0.0016363738940609023
monto_consumos_ecommerce_tc,Monto consumos ecommerce TC,"Saldos, deuda y consumo",0.0016033736734507795
ingreso_neto,Ingreso neto estimado,"Ingreso, tasa y valor económico",0.0014786591272119931
cre_sldtotfinprm03,Saldo total financiero promedio 3 meses,"Saldos, deuda y consumo",0.0014364562816417863
nro_configuracion_6m,Número de configuraciones 6 meses,Productos y actividad,0.0010765391993928705
avg_openhtml_6m,Apertura promedio HTML 6 meses,Campañas y contacto,0.001001836974775364
senthtml_1m,Emails enviados último mes,Campañas y contacto,0.0009392122429764836
ctd_camptototrcnl06m,Campañas por otros canales en 6 meses,Campañas y contacto,0.0009023417383162632
beta_pctusotcr12m,Tendencia uso tarjeta 12 meses,"Tarjeta, línea y crédito",0.0006583301833099542
prom_pct_saldopprcc6m,Porcentaje promedio saldo préstamo RCC 6 meses,"Saldos, deuda y consumo",0.0005941634568025397
ctd_camptotm01,Campañas totales último mes,Campañas y contacto,0.0005128272384220664
act_avg6m_max12m,Actividad promedio 6 meses vs máximo 12 meses,Productos y actividad,0.0004113437412186034
ent_1erlntcrallsfm01_INTERBANK,Entidad financiera principal: Interbank,Variable categórica principal,0.0003079176868326399
pas_1m_avg6m,Pasivo último mes vs promedio 6 meses,"Saldos, deuda y consumo",0.00011996092606314584
prop_atm_4m,Proporción de uso ATM 4 meses,Canales y transacciones,0.0
pas_1m_avg3m,Pasivo último mes vs promedio 3 meses,"Saldos, deuda y consumo",0.0
pas_avg6m_max12m,Pasivo promedio 6 meses vs máximo 12 meses,"Saldos, deuda y consumo",0.0
rat_disefepnm01,Ratio disponibilidad efectiva último mes,"Saldos, deuda y consumo",0.0
act_1m_avg3m,Actividad último mes vs promedio 3 meses,Productos y actividad,0.0
tea,Tasa efectiva anual de la oferta,"Ingreso, tasa y valor económico",0.0
pct_usotcrm01,Porcentaje uso tarjeta último mes,"Tarjeta, línea y crédito",0.0
ent_1erlntcrallsfm01_OTRO,Entidad financiera principal: Otro,Variable categórica principal,0.0
