grupo_ejec,clientes,score_promedio,tlv_promedio
1,3000,0.1557994625664023,0.021912784871127165
2,3000,0.0557302114155003,0.003421612618715782
3,3000,0.033281237409265134,0.0012239074969287319
4,3000,0.02389561119214041,0.0005274262990496987
5,3000,0.01688059539699939,0.00026047106395408104
6,3000,0.012588084444431002,0.00014516987519089258
7,3000,0.00945917305543383,8.776979946868574e-05
8,3000,0.0074759812046652375,5.5398207508523135e-05
9,3000,0.00597274780562259,3.4158392906716264e-05
10,3000,0.0045000140260878455,1.6556346379670655e-05
