decil,clientes,compradores,score_promedio,tasa_compra_decil,tasa_compra_general,lift,auc_inferencia
1,3000,509,0.1710394311383618,0.16966666666666666,0.0293,5.7906712172923775,0.8665316996179175
2,3000,154,0.05844356607278507,0.051333333333333335,0.0293,1.751990898748578,0.8665316996179175
3,3000,85,0.030608978498565434,0.028333333333333332,0.0293,0.9670079635949943,0.8665316996179175
4,3000,48,0.019365980420656525,0.016,0.0293,0.5460750853242321,0.8665316996179175
5,3000,33,0.013524913262122332,0.011,0.0293,0.37542662116040953,0.8665316996179175
6,3000,20,0.01006333980042688,0.006666666666666667,0.0293,0.22753128555176338,0.8665316996179175
7,3000,14,0.007839525173577404,0.004666666666666667,0.0293,0.15927189988623439,0.8665316996179175
8,3000,5,0.006191873236936987,0.0016666666666666668,0.0293,0.056882821387940846,0.8665316996179175
9,3000,10,0.004890757218806258,0.0033333333333333335,0.0293,0.11376564277588169,0.8665316996179175
10,3000,1,0.0036147536943093393,0.0003333333333333333,0.0293,0.011376564277588168,0.8665316996179175
