decil,score_promedio,tlv_promedio,clientes,orden
D1,0.1464802055734731,0.015201837054415294,8000,1
D2,0.050982122915050936,0.003337960287716001,8000,2
D3,0.029099383710978245,0.0016836162768161466,8000,3
D4,0.019147354972810362,0.000987581924166856,8000,4
D5,0.013813271067446712,0.0006817055790289164,8000,5
D6,0.010499302185541102,0.000498276376520688,8000,6
D7,0.008203388127152827,0.0003604569686365226,8000,7
D8,0.006479880487648557,0.0002758481425786518,8000,8
D9,0.005082631080179011,0.00020399570381689414,8000,9
D10,0.003758170699144395,0.0001465421004169354,8000,10
